2026-08-27 15:26:15.005263,24.70,50.27,1003.77
2026-08-27 15:26:16.008112,24.70,50.27,1003.76
2026-08-27 15:26:17.011072,24.70,50.27,1003.79
2026-08-27 15:26:18.014225,24.70,50.26,1003.78
2026-08-27 15:26:19.017261,24.71,50.26,1003.76
2026-08-27 15:26:20.020202,24.71,50.26,1003.77
2026-08-27 15:26:21.023268,25.32,51.80,1003.71
2026-08-27 15:26:22.026085,26.32,54.26,1003.72
2026-08-27 15:26:23.029127,27.15,55.56,1003.75
2026-08-27 15:26:24.031983,27.79,56.49,1003.78
2026-08-27 15:26:25.035127,28.30,56.81,1003.80
2026-08-27 15:26:26.038147,28.72,56.75,1003.77
2026-08-27 15:26:27.041145,29.04,56.97,1003.78
2026-08-27 15:26:28.044005,29.32,57.17,1003.79
2026-08-27 15:26:29.047187,29.55,57.31,1003.79
2026-08-27 15:26:30.050073,29.76,57.46,1003.80
2026-08-27 15:26:31.053329,29.94,57.50,1003.82
2026-08-27 15:26:32.056147,30.07,57.41,1003.82
2026-08-27 15:26:33.059713,30.20,57.33,1003.79
2026-08-27 15:26:34.062172,30.33,57.14,1003.83
2026-08-27 15:26:35.065234,30.43,57.04,1003.77
2026-08-27 15:26:36.068166,30.53,57.29,1003.79
2026-08-27 15:26:37.071102,30.62,57.22,1003.80
2026-08-27 15:26:38.074367,30.71,56.92,1003.78
2026-08-27 15:26:39.077225,30.80,56.75,1003.81
2026-08-27 15:26:40.080457,30.86,56.41,1003.77
2026-08-27 15:26:41.083061,30.92,56.04,1003.78
2026-08-27 15:26:42.086280,30.99,55.52,1003.78
2026-08-27 15:26:43.089170,31.06,55.21,1003.82
2026-08-27 15:26:44.092169,31.12,55.16,1003.83
2026-08-27 15:26:45.095304,31.17,55.26,1003.82
2026-08-27 15:26:46.098237,31.21,55.31,1003.82
2026-08-27 15:26:47.101276,31.25,55.16,1003.83
2026-08-27 15:26:48.104167,31.29,54.94,1003.82
2026-08-27 15:26:49.107293,31.33,54.70,1003.82
2026-08-27 15:26:50.110303,31.37,54.61,1003.83
2026-08-27 15:26:51.113215,31.41,54.44,1003.80
2026-08-27 15:26:52.116203,31.44,54.20,1003.83
2026-08-27 15:26:53.119340,31.48,53.71,1003.80
2026-08-27 15:26:54.122358,31.50,53.06,1003.78
2026-08-27 15:26:55.125284,31.53,52.77,1003.78
2026-08-27 15:26:56.128319,31.56,52.69,1003.83
2026-08-27 15:26:57.131256,31.52,51.46,1003.81
2026-08-27 15:26:58.134391,31.39,49.76,1003.85
2026-08-27 15:26:59.137326,31.21,47.79,1003.80
2026-08-27 15:27:00.140247,31.02,46.15,1003.82
2026-08-27 15:27:01.143340,30.81,45.03,1003.78
2026-08-27 15:27:02.146237,30.63,44.34,1003.80
2026-08-27 15:27:03.149321,30.46,43.82,1003.80
2026-08-27 15:27:04.152024,30.30,43.42,1003.83
2026-08-27 15:27:05.155081,30.13,43.08,1003.80
2026-08-27 15:27:06.158371,29.97,42.84,1003.79
2026-08-27 15:27:07.161627,29.84,42.67,1003.80
2026-08-27 15:27:08.164348,29.70,42.63,1003.78
2026-08-27 15:27:09.167217,29.56,42.70,1003.78
2026-08-27 15:27:10.170159,29.44,42.77,1003.79
2026-08-27 15:27:11.173167,29.32,42.81,1003.77
2026-08-27 15:27:12.176135,29.20,42.83,1003.79
2026-08-27 15:27:13.179292,29.08,42.87,1003.77
2026-08-27 15:27:14.182307,28.98,42.90,1003.78
2026-08-27 15:27:15.185365,28.89,42.94,1003.75
2026-08-27 15:27:16.188255,28.79,42.99,1003.76
2026-08-27 15:27:17.191116,28.69,43.04,1003.79
2026-08-27 15:27:18.194110,28.61,43.09,1003.82
2026-08-27 15:27:19.197230,28.53,43.14,1003.84
2026-08-27 15:27:20.200181,28.45,43.20,1003.81
2026-08-27 15:27:21.203320,28.36,43.27,1003.81
2026-08-27 15:27:22.206175,28.28,43.33,1003.82
2026-08-27 15:27:23.209247,28.21,43.40,1003.78
2026-08-27 15:27:24.212284,28.14,43.46,1003.79
2026-08-27 15:27:25.215373,28.06,43.55,1003.80
2026-08-27 15:27:26.218294,27.99,43.63,1003.81
2026-08-27 15:27:27.221270,27.93,43.69,1003.82
2026-08-27 15:27:28.224150,27.87,43.78,1003.82
2026-08-27 15:27:29.227296,27.80,43.85,1003.82
2026-08-27 15:27:30.230134,27.74,43.93,1003.77
2026-08-27 15:27:31.233320,27.69,43.99,1003.81
2026-08-27 15:27:32.236331,27.62,44.07,1003.76
2026-08-27 15:27:33.239256,27.57,44.13,1003.77
2026-08-27 15:27:34.242292,27.52,44.22,1003.77
2026-08-27 15:27:35.245255,27.47,44.27,1003.76
2026-08-27 15:27:36.248314,27.42,44.36,1003.75
2026-08-27 15:27:37.251298,27.36,44.43,1003.76
2026-08-27 15:27:38.254365,27.32,44.50,1003.78
2026-08-27 15:27:39.257221,27.28,44.57,1003.77
2026-08-27 15:27:40.260288,27.24,44.64,1003.80
2026-08-27 15:27:41.263194,27.19,44.70,1003.81
2026-08-27 15:27:42.266333,27.14,44.77,1003.79
